id,name,Tipo de Comida,x,y,district,star,min_price,max_price,status
1,Restaurante Statera,Comida Peruana,-12.115658,-77.04344,MIRAFLORES,50,80,280,Funcionando
2,Maras Restaurante,Comida Peruana,-12.092106,-77.02466,SAN ISIDRO,45,40,237,Clausurado
3,Ventarron Restaurante Chiclayano & Barra,Comida Peruana,-12.149373,-77.020706,BARRANCO,45,12,72,Funcionando
4,Aji 555 Real Thai Cuisine,Comida Asiatica,-12.105918,-76.99234,SAN BORJA,45,20,83,Funcionando
5,Cebicheria La Mar,Mariscos,-12.113314,-77.0454,MIRAFLORES,45,79,99,Funcionando
6,Cosme,Comida Peruana,-12.108092,-77.04027,SAN ISIDRO,45,24,167,Funcionando
7,Tzuru Restaurante Nikkei,Comida Japonesa,-12.097001,-77.0161,SAN ISIDRO,45,15,160,Funcionando
8,Amoramar,Comida Peruana,-12.144102,-77.01824,BARRANCO,45,24,145,Funcionando
9,Mayta Restaurante,Comida Peruana,-12.130622,-77.01971,MIRAFLORES,45,25,151,Funcionando
10,IK Restaurante,Comida Peruana,-12.118232,-77.03498,MIRAFLORES,45,11,167,Funcionando
11,DonDoh,Comida Japonesa,-12.106183,-77.03707,SAN ISIDRO,45,19,103,Funcionando
12,Chabuca Restaurant,Mariscos,-12.095196,-77.0379,SAN ISIDRO,45,4,126,Funcionando
13,Huaringas Bar,Bar,-12.123019,-77.036064,MIRAFLORES,45,5,116,Funcionando
14,EL HORNERO,Churrasqueria,-12.16734,-77.02828,CHORRILLOS,45,21,151,Funcionando
15,Perroquet,Comida Peruana,-12.098123,-77.04863,SAN ISIDRO,45,19,169,Funcionando
16,Puquina Qocha,Comida Peruana,-12.061885,-77.04154,LIMA,45,15,166,Funcionando
17,Restaurante Arlotia,Comida Espanola,-12.148265,-77.02115,BARRANCO,45,28,163,Funcionando
18,LA73 Paradero Gourmet,Comida Peruana,-12.139511,-77.02326,BARRANCO,45,19,168,Funcionando
19,amaZ Restaurante,Comida Vegetariana,-12.128757,-77.02671,MIRAFLORES,45,4,109,Funcionando
20,Carnaval,Bar,-12.105828,-77.03892,SAN ISIDRO,45,9,96,Funcionando
21,Cala Restaurante,Mariscos,-12.144666,-77.02574,BARRANCO,45,8,88,Funcionando
22,La Red - Miraflores,Mariscos,-12.116288,-77.042816,MIRAFLORES,40,26,85,Funcionando
23,Carnal Prime Steakhouse,Churrasqueria,-12.113415,-77.03462,MIRAFLORES,45,28,131,Funcionando
24,Papacho's,Bar,-12.128386,-77.02677,MIRAFLORES,45,20,168,Funcionando
25,Mi Barrunto,Mariscos,-12.067569,-77.02158,LA VICTORIA,45,29,134,Funcionando
26,Bravo RestoBar,Bar,-12.106424,-77.03709,SAN ISIDRO,45,12,125,Funcionando
27,La Gloria,Mariscos,-12.117876,-77.030396,MIRAFLORES,45,11,161,Funcionando
28,El Rincon de Bigote,Mariscos,-12.121218,-77.03525,MIRAFLORES,45,7,116,Funcionando
29,Pardos Chicken,Polleria,-12.125304,-77.025505,MIRAFLORES,40,9,150,Funcionando
30,Museo del Pisco,Bar,-12.045773,-77.02957,LIMA,45,7,142,Funcionando
31,Paprika,Comida Espanola,-12.097411,-77.05583,SAN ISIDRO,45,11,95,Funcionando
32,Tanta,Mariscos,-12.132116,-77.030235,MIRAFLORES,40,23,145,Funcionando
33,Danica,Comida Italiana,-12.109326,-77.03781,SAN ISIDRO,40,27,153,Funcionando
34,La Cabrera,Churrasqueria,-12.13703,-77.02242,BARRANCO,40,30,112,Funcionando
35,TOSHi Restaurante Nikkei,Comida Japonesa,-12.134496,-77.026215,MIRAFLORES,45,21,143,Funcionando
36,Mangos,Comida Vegetariana,-12.132117,-77.030624,MIRAFLORES,40,24,168,Funcionando
37,La Bistecca,Comida Italiana,-12.106554,-77.03715,SAN ISIDRO,40,14,100,Funcionando
38,Restaurante Las Tejas,Comida Espanola,-12.122317,-77.02739,MIRAFLORES,40,29,106,Funcionando
39,HANZO San Isidro,Comida Japonesa,-12.101889,-77.03696,SAN ISIDRO,40,22,144,Funcionando
40,Alzo,Comida Peruana,-12.120894,-77.004105,SURQUILLO,45,19,144,Funcionando
41,Bar Ingles,Bar,-12.098124,-77.04874,SAN ISIDRO,45,25,86,Funcionando
42,Don Tito Pollos a la Brasa,Polleria,-12.100671,-77.001976,SAN BORJA,40,29,85,Funcionando
43,Juicy Lucy,Fast-Food,-12.129749,-77.02441,MIRAFLORES,40,12,158,Funcionando
44,Deli France,Comida Francesa,-12.113091,-77.03908,MIRAFLORES,45,29,98,Funcionando
45,Restaurant Sonia,Mariscos,-12.167985,-77.030785,CHORRILLOS,40,29,156,Funcionando
46,mo bistro,Cafeteria,-12.1134,-77.040474,MIRAFLORES,45,3,101,Funcionando
47,Haiti,Bar,-12.119874,-77.029434,MIRAFLORES,40,3,169,Funcionando
48,Veda Restaurante,Comida Peruana,-12.123669,-77.025406,MIRAFLORES,45,15,88,Funcionando
49,Cafe de la Paz,Cafeteria,-12.121894,-77.03012,MIRAFLORES,40,21,97,Funcionando
50,Donatello,Comida Italiana,-12.121202,-77.033676,MIRAFLORES,40,9,100,Funcionando
51,El Italiano,Comida Italiana,-12.085033,-77.02191,LA VICTORIA,45,8,110,Funcionando
52,Edo Sushi Bar,Comida Japonesa,-12.10042,-77.00027,SAN BORJA,45,25,91,Funcionando
53,El Hornero,Churrasqueria,-12.092338,-77.025475,SAN ISIDRO,40,4,113,Funcionando
54,Vivaldi Restaurante,Comida Peruana,-12.098028,-77.036644,SAN ISIDRO,40,27,107,Funcionando
55,Restaurante Rovegno,Comida Italiana,-12.069183,-77.03791,JESUS MARIA,40,29,154,Funcionando
56,Avanti,Comida Italiana,-12.12571,-77.0301,MIRAFLORES,45,13,148,Funcionando
57,Grimanesa Vargas Anticuchos,Parrilla,-12.113582,-77.0458,MIRAFLORES,40,21,136,Funcionando
58,Veggie Pizza,Pizzeria,-12.110894,-77.03707,MIRAFLORES,40,20,139,Funcionando
59,Mezze Restaurant and Cafe,Bar,-12.129246,-77.02978,MIRAFLORES,40,30,107,Funcionando
60,Kg Restaurante,Comida Peruana,-12.121595,-77.03571,MIRAFLORES,45,28,130,Funcionando
61,Los Bachiche,Comida Italiana,-12.128145,-77.02687,MIRAFLORES,40,30,108,Funcionando
62,Mantra Indian Cuisine,Comida Asiatica,-12.12685,-77.014175,MIRAFLORES,40,5,163,Funcionando
63,Rustica de la Costa Verde,Mariscos,-12.148798,-77.0248,BARRANCO,40,30,106,Funcionando
64,LA PANKA,Polleria,-12.120905,-77.004265,SURQUILLO,40,6,115,Funcionando
65,Makoto Sushi Bar Miraflores,Comida Japonesa,-12.118008,-77.03287,MIRAFLORES,40,17,103,Funcionando
66,Osso El Restaurante,Churrasqueria,-12.097178,-77.037636,SAN ISIDRO,40,27,102,Funcionando
67,Sakura Sushi,Comida Japonesa,-12.113754,-77.0479,MIRAFLORES,45,19,154,Funcionando
68,Slice Pizzeria,Pizzeria,-12.122732,-77.027855,MIRAFLORES,50,17,103,Funcionando
69,Pardos Chicken,Polleria,-12.045352,-77.031494,LIMA,40,22,147,Funcionando
70,Punta Sal,Mariscos,-12.124924,-77.037155,MIRAFLORES,40,4,108,Funcionando
71,Barrio,Bar,-12.092102,-77.02385,SAN ISIDRO,40,10,156,Funcionando
72,Delphos Bistro,Comida Peruana,-12.09775,-77.04786,SAN ISIDRO,45,15,82,Funcionando
